ACCOUNT;1;gfgfggfggggggggggggggggggggggg
ACCOUNT;2;Наличные
ACCOUNT;3;Зарплатная карта
ACCOUNT;4;Сберегательный счет
ACCOUNT;5;Кредитка
ACCOUNT;6;Инвестиции
ACCOUNT;7;Заначка
ACCOUNT;8;Общий бюджет
ACCOUNT;9;Валютный счет
ACCOUNT;10;Ипотечный счет
ACCOUNT;11;Автофонд
CATEGORY;INCOME;ЗП
CATEGORY;INCOME;Зарплата
CATEGORY;INCOME;Фриланс
CATEGORY;INCOME;Проценты по вкладу
CATEGORY;INCOME;Кэшбэк
CATEGORY;EXPENSE;Продукты
CATEGORY;EXPENSE;Транспорт
CATEGORY;EXPENSE;Жилье
CATEGORY;EXPENSE;Развлечения
CATEGORY;EXPENSE;Здоровье
CATEGORY;EXPENSE;Связь
OPERATION;INCOME;1;50000,00;1;1-26
OPERATION;INCOME;1;50000,00;11;Начальный капитал
OPERATION;INCOME;2;150000,00;11;Начальный капитал
OPERATION;INCOME;3;100000,00;11;Начальный капитал
OPERATION;INCOME;4;50000,00;11;Начальный капитал
OPERATION;INCOME;2;75000,00;11;Основная зарплата
OPERATION;INCOME;2;15000,00;12;Проект на фрилансе
OPERATION;INCOME;2;20000,00;12;Вторая часть проекта
OPERATION;INCOME;2;60000,00;11;Аванс за март
OPERATION;INCOME;2;10000,00;12;Консультация
OPERATION;INCOME;2;5500,00;12;Мелкий заказ
OPERATION;INCOME;2;1200,00;14;Кэшбэк за покупки
OPERATION;INCOME;2;500,00;14;Акция приведи друга
OPERATION;INCOME;2;850,00;14;Спецпредложения
OPERATION;INCOME;2;400,00;14;Округление покупок
OPERATION;INCOME;3;450,20;13;Проценты за месяц
OPERATION;INCOME;3;500,00;13;Бонус от банка
OPERATION;INCOME;3;300,00;13;Капитализация
OPERATION;INCOME;3;120,00;13;Мелочь по вкладу
OPERATION;INCOME;1;2000,00;14;Возврат налога
OPERATION;INCOME;4;1000,00;14;Бонусные баллы
OPERATION;EXPENSE;2;15000,00;17;Аренда квартиры
OPERATION;EXPENSE;1;1200,50;15;Супермаркет Магнит
OPERATION;EXPENSE;4;2500,00;16;Бензин АИ-95
OPERATION;EXPENSE;1;500,00;20;Пополнение баланса телефона
OPERATION;EXPENSE;2;3200,00;15;Закупка на неделю
OPERATION;EXPENSE;1;150,00;16;Проезд на метро
OPERATION;EXPENSE;4;800,00;18;Билеты в кино
OPERATION;EXPENSE;2;4500,00;19;Витамины и аптека
OPERATION;EXPENSE;1;600,00;15;Кофе и десерт
OPERATION;EXPENSE;3;10000,00;17;Коммунальные платежи
OPERATION;EXPENSE;1;2100,00;15;Доставка еды
OPERATION;EXPENSE;2;450,00;20;Домашний интернет
OPERATION;EXPENSE;1;130,00;16;Автобус
OPERATION;EXPENSE;4;5000,00;18;Ужин в ресторане
OPERATION;EXPENSE;2;1800,00;15;Овощи и фрукты
OPERATION;EXPENSE;1;250,00;16;Такси до дома
OPERATION;EXPENSE;3;500,00;20;Подписка на музыку
OPERATION;EXPENSE;2;3000,00;19;Прием у врача
OPERATION;EXPENSE;1;1100,00;15;Хозтовары
OPERATION;EXPENSE;4;1200,00;18;Боулинг с друзьями
OPERATION;EXPENSE;2;2200,00;15;Мясо и молочка
OPERATION;EXPENSE;1;150,00;16;Трамвай
OPERATION;EXPENSE;2;850,00;20;Мобильный интернет
OPERATION;EXPENSE;3;2500,00;17;Ремонт крана
OPERATION;EXPENSE;1;400,00;15;Булочная
OPERATION;EXPENSE;4;3500,00;18;Квесты
OPERATION;EXPENSE;2;1200,00;19;Зубная паста и щетка
OPERATION;EXPENSE;1;900,00;15;Рынок
OPERATION;EXPENSE;2;1400,00;15;Завтраки
OPERATION;EXPENSE;1;300,00;16;Электричка
OPERATION;EXPENSE;3;1500,00;17;Охрана подъезда
OPERATION;EXPENSE;4;2000,00;18;Настольные игры
OPERATION;EXPENSE;2;5000,00;19;Анализы
OPERATION;EXPENSE;1;750,00;15;Сладости
OPERATION;EXPENSE;2;1100,00;20;ТВ каналы
OPERATION;EXPENSE;1;180,00;16;Маршрутка
OPERATION;EXPENSE;4;1500,00;18;Каток
OPERATION;EXPENSE;2;2500,00;15;Птица и яйца
OPERATION;EXPENSE;1;90,00;16;Метро разовая поездка
OPERATION;EXPENSE;2;400,00;20;Вторая SIM-карта
OPERATION;EXPENSE;3;3000,00;17;Налог на имущество
OPERATION;EXPENSE;1;1600,00;15;Бытовая химия
OPERATION;EXPENSE;2;500,00;16;Платная парковка
OPERATION;EXPENSE;4;2800,00;18;Концерт
OPERATION;EXPENSE;2;1000,00;19;Маски для лица
OPERATION;EXPENSE;1;350,00;15;Напитки
OPERATION;EXPENSE;2;4200,00;15;Продукты на праздник
OPERATION;EXPENSE;1;220,00;16;Пригородный поезд
OPERATION;EXPENSE;3;1200,00;20;Антивирус год
OPERATION;EXPENSE;2;600,00;19;Бинты и пластыри
OPERATION;EXPENSE;4;900,00;18;Музей
OPERATION;EXPENSE;1;550,00;15;Чай и кофе в зернах
OPERATION;EXPENSE;2;300,00;16;Такси эконом
OPERATION;EXPENSE;2;1900,00;15;Рыба свежая
OPERATION;EXPENSE;3;400,00;17;Замена лампочек
OPERATION;EXPENSE;4;3300,00;18;Театр
OPERATION;EXPENSE;1;1200,00;19;Окулист
OPERATION;EXPENSE;2;700,00;15;Молочные продукты
OPERATION;EXPENSE;1;100,00;16;Троллейбус
OPERATION;EXPENSE;2;500,00;20;Пополнение баланса
